"","title","dod","name","born","awards","Occupation","Filmography"
"211","Lakshmi (actress)","","Lakshmi Yaragudipati","13-12-1952",Na,"Film actress","Netrikkann,Polladhavan_(1980_film),Unnaipol_Oruvan_(2009_film),Bharatham,Kanda_Naal_Mudhal,Anthiveyilile_Ponnu,Maanavan,Naan_Avanillai_(1974_film),Ponni_(film),Sila_Nerangalil_Sila_Manithargal,Jeevana_Tarangalu,Indru_Nee_Nalai_Naan,Lion_Jagapathi_Rao,Naa_Ninna_Mareyalare,Olavu_Geluvu,Babu_(1975_film),Anthasthu,Maattukara_Velan,Nanobba_Kalla,Raakilipattu,Sakhiya,Brahma_Rudrulu,Unakkaga_Naan,Kadarkarai_Thaagam,Daisy_(1988_film),Vamshi_(film),Kiladi_Jodi,Prayanam_(1975_film),Vida_Parayum_Munpe,Alluda_Majaka,Kasethan_Kadavulada,Panthulamma,Maanagara_Kaaval,Mithunam_(2012_film),Rudhra_(film),Naan_Avanillai_(2007_film),Vallal,Bandhavyalu,Priya_O_Priya,Arante_Mulla_Kochu_Mulla,Athiradi_Padai,Kanmani_(film),Antha_(film),Naa_Ninna_Bidalaare,Avala_Hejje,Dhaya_(film),Ayya_(2005_Tamil_film),Enga_Thambi,Evargal_Indiyargal,Hoovu_Hannu,Kodai_Mazhai,Nodi_Swamy_Navirodu_Hige,Samsaram_Adhu_Minsaram,Andaru_Dongale,Sange_Muzhangu,Chattaniki_Kallu_Levu,Idhaya_Veenai,Mallepoovu,Anandha_Kanneer,Adhu_Antha_Kaalam,Raagam,Kaaval_Dheivam,Poochakkaru_Mani_Kettum,Sri_Raghavendrar,Sowbhagya_Lakshmi,Bhoomige_Banda_Bhagavantha,Enakku_Nane_Needipathi,En_Uyir_Kannamma,Penn_Deivam,Veettuku_Veedu,Kaalaiyum_Neeye_Maalaiyum_Neeye,Kanimuthu_Paappa,Pattukottai_Periyappa,Arunodhayam,Ore_Oru_Gramathiley,Aattakalasam,Sandhya_Vandanam_(film),Thaalam_Thettiya_Tharattu,Kaduvaye_Pidicha_Kiduva,Oru_Malarin_Payanam,Avan_Aval_Adhu_(1980_film),Choodatha_Pookal,Gaanam,Kudumbam_Oru_Koyil,Vepraalam,Nathi_Muthal_Nathi_Vare,Aaroodam,Kaaryam_Nissaaram,Nenjangal,Sindhu_(film),Surveykkallu,Ullasa_Yaathra,Vyaamoham,Ajayanum_Vijayanum,Aadhipathyam,Sir...I_Love_You,Orikkal_Koodi,Ningalil_Oru_Sthree,America_America_(film),Chattakkari_(1974_film),Ore_Oru_Gramathile,Chalanum,Mohiniyaattam_(film),Raththa_Dhanam,Vannu_Kandu_Keezhadakki,Chattambikkalyaani,Achchani,Mupperum_Deviyar,Ravana_Brahma,Thangaikkaaga,Nawab_Naarkali,Nyayam_Ketkirom"
"212","Lakshmi Gopalaswamy","","ಲಕ್ಷ್ಮೀ ಗೋಪಾಲಸ್ವಾಮಿ,Lakshmi Gopalaswamy","",Na,"","Keerthi_Chakra_(film),Nam_Yajamanru,Vishnu_Sena,Swapaanam,Arayannangalude_Veedu,Achaneyanenikkishtam,Boyy_Friennd,Paradesi_(2007_film),Aptharakshaka,Thathwamasi,Pakal_Nakshatrangal,Mathai_Kuzhappakkaranalla,Vidaaya,Bhagavan_(2009_film)"
"213","Lakshmi Manchu","","Manchu Lakshmi Prasanna","8/10/1972",Na,"Television presenter","Uu_Kodathara%3F_Ulikki_Padathara%3F,Chandamama_Kathalu,Anaganaga_O_Dheerudu,Gundello_Godari,Department_(film)"
"214","Lal (actor)","","Paul Michael","2/12/1958",Na,"","Chanthupottu,Marudhamalai,Anthony_Yaar%3F,Ayaal,Isaac_Newton_S/O_Philipose,Hi_I'm_Tony,Best_Actor_(film),Shutter_(2012_film),Sandakozhi,One_Man_Show_(film),Cobra_(2012_film),Husbands_in_Goa,Kaattum_Mazhayum,Pachamarathanalil,Engal_Anna,Thalappavu,Chettayees,Before_the_Rains,Chandranudikkunna_Dikhil,Kaliyattam,Kaalai,Azhagar_Malai,The_Don_(2006_film),Payyans,Aagathan,Anwar_(2010_film),Punjabi_House,Aalwar,Black_(2004_film),Salt_N'_Pepper,Honey_Bee_(film),Abhiyum_Njanum,Maad_Dad,Kadhaveedu,Iyobinte_Pusthakam,Swargathekkal_Sundaram,Happy_Journey_(2014_Malayalam_film),Deepavali_(2007_film)"
"215","Lara Dutta","","","16-04-1978",Na,"","Dosti:_Friends_Forever,Zinda_(film),Housefull_(2010_film),Billu,Don_2,David_(2013_Tamil_film),Singh_Is_Bling,Aan:_Men_at_Work,David_(2013_Hindi_film),Elaan_(2005_film),Jhoom_Barabar_Jhoom,Partner_(2007_film),Blue_(2009_film),Jurm_(2005_film),No_Entry,Banda_Yeh_Bindaas_Hai,Mumbai_Se_Aaya_Mera_Dost,Bardaasht,Insan,Andaaz,Chalo_Dilli,Aasman,Arasatchi,Kaal,Do_Knot_Disturb,Satyameva_Jayate_(film)"
"216","Laya (actress)","","","31-01-1981",Na,"","Swarabhishekam,Rashtram,Nee_Premakai,Siva_Rama_Raju,Kodanda_Ramudu,Thommanum_Makkalum,Nuvvu_Leka_Nenu_Lenu,Sri_Bannari_Amman,Vijayendra_Varma,Chanakya_(film),Tata_Birla_Madhyalo_Laila,Preminchu,Swayamvaram_(1999_film),Hanuman_Junction_(film),Manoharam"
"217","Lekha Washington","","","30-04-1984",Na,"","Kalyana_Samayal_Saadham,Va_(film),Huduga_Hudugi,Unnale_Unnale,Jayamkondaan,Vedam_(film)"
"218","Linda Arsenio","","","20-06-1978",Na,"","Mumbai_Salsa,Aloo_Chaat_(film),Bhadra_(2005_film),Kabul_Express,Kerala_Varma_Pazhassi_Raja_(film)"
"219","Lisa Ray","","Lisa Rani Ray","4/4/1972",Na,"","Takkari_Donga,Cooking_with_Stella,Water_(2005_film),Ball_&_Chain,I_Can't_Think_Straight,Yuvaraja_(film),All_Hat,1_a_Minute,Kasoor,Kill_Kill_Faster_Faster,The_World_Unseen,Toronto_Stories"
"220","Lissy (Malayalam actress)","","","3/2/1967",Na,"","Ice_Cream_(1986_film),Oru_Vivaada_Vishayam,Oru_Sindoora_Pottinte_Ormaykku"
"221","Livingston (actor)","","","",Na,"Film actor,Screenwriter","Chocolate_(2001_film),Veera_(1994_film),Parattai_Engira_Azhagu_Sundaram,Captain_Prabhakaran,Namma_Veetu_Kalyanam,M._Kumaran_S/O_Mahalakshmi,Chinna_(2005_film),Dindigul_Sarathy,Sonnal_Thaan_Kaadhala,Irandu_Mugam,Vallakottai_(film),Ashoka_(film),Puli_Varudhu,Thotta,Aasai_Aasaiyai,Arputham,Banda_Paramasivam,Sudesi,Annai_Kaligambal,En_Purushan_Kuzhandhai_Maadhiri,Poonthotta_Kaavalkaaran,Solla_Solla_Inikkum,Sollamale,Whistle_(2003_film),Jithan,Naan_Avanillai_(2007_film),Ambasamudram_Ambani,Cheena_Thaana_001,Kadhalil_Vizhunthen,Vambu_Sandai,A_Aa_E_Ee_(2009_Tamil_film),Kanna_(film),Sundara_Purushan_(1996_film),Vallarasu,Kuththu,Daas,Virumbugiren,Poomagal_Oorvalam,Satyam_(2008_film),Nenjirukkum_Varai_(2006_film)"
"222","M. G. Ramachandran","24-12-1987","","17-01-1917",Na,"","Aasai_Mugam,Aayirathil_Oruvan_(1965_film),Arasilangkumari,Dharmam_Thalai_Kaakkum,En_Kadamai,Enga_Veettu_Pillai,Kaanchi_Thalaivan,Kalai_Arasi,Kalangarai_Vilakkam,Kanni_Thaai,Koduthu_Vaithaval,Maadappura,Mannadhi_Mannan,Nallavan_Vazhvan,Needhikkuppin_Paasam,Paasam,Padagotti,Panakkara_Kudumbam,Panam_Padaithavan,Panathottam,Parisu,Raani_Samyuktha,Raja_Desingu,Sabaash_Mapillai,Thaayin_Madiyil,Thazhampoo,Thirudadhe,Thozhilali,Tháyai_Kátha_Thanayan,Vettaikaaran_(1964_film),Vikramaadhithan,Abhimanyu_(1948_film),Marmayogi,Anandha_Jodhi,Engal_Thangam,Harichandra_(1944_film),Kadhal_Vaaganam,Kanavan,Kannan_En_Kadhalan,Mohini_(film),Pattikaattu_Ponnaiya,Thaer_Thiruvizha,Thaikku_Thalaimagan,Thalaivan_(1970_film),Maattukara_Velan,Nam_Naadu_(1969_film),Ninaithadhai_Mudippavan,Adimaippenn,Arasa_Kattalai,Idhayakkani,Indru_Pol_Endrum_Vaazhga,Madhuraiyai_Meetta_Sundharapandiyan,Meenava_Nanban,Oorukku_Uzhaippavan,Oru_Thaai_Makkal,Ragasiya_Police_115,Ulagam_Sutrum_Valiban,Vivasayee,Mugaraasi,Naan_Aanaiyittal,Petralthan_Pillaiya,Thanipiravi,Chandhrodhayam,Kaavalkaaran_(1967_film),Kudiyirundha_Koyil,Naalai_Namadhe,Nadodi_(1966_film),Nalla_Neram,Parakkum_Paavai,Pudhiya_Boomi,Sirithu_Vazha_Vendum,Uzhaikkum_Karangal,Gulebakavali_(1955_film),Paithiyakkaran,Manthiri_Kumari,Sathi_Leelavathi_(1936_film),Periya_Idathu_Penn,Jenova_(film),Ashok_Kumar_(film),Alibabavum_40_Thirudargalum_(1956_film),Andhaman_Kaidhi,Baghdad_Thirudan,Chakravarthi_Thirumagal,Dhaasippen,En_Thangai_(1952_film),Iru_Sahodarargal,Koondukkili,Mahadhevi,Malaikkallan,Marudhanaattu_Ilavarasi,Maya_Machhindra,Nadodi_Mannan_(1958_film),Raja_Mukthi,Rajakumaari,Ratnakumar,Saalivaahanan,Sarvadhikari_(film),Sri_Murugan,Tamizhariyum_Perumal,Thaai_Magalukku_Kattiya_Thaali,Thaikkupin_Tharam,Veera_Jagathis,Madurai_Veeran_(1956_film),Kumari_(1952_film),Ponniyin_Selvan_(1958_film),Thaali_Bhagyam,Thedi_Vandha_Mappillai,En_Annan,Netru_Indru_Naalai_(1974_film),Raman_Thediya_Seethai_(1972_film),Sange_Muzhangu,Panakkaari,Pudhumai_Pithan_(1957_film),Raja_Rajan_(film),Anbe_Vaa,Avasara_Police_100,Naam_(1953_film),Needhikku_Thalaivanangu,Oli_Vilakku,Neerum_Neruppum,Naan_Yen_Pirandhen,Idhaya_Veenai,Navarathinam,Ek_Tha_Raja_(1951_film),Kumari_Kottam,Nallathai_Naadu_Kekum,Kudumba_Thalaivan,Thaai_Sollai_Thattadhe,Urimaikural,Th%C3%A1yai_K%C3%A1tha_Thanayan"
"223","M. K. Radha","","","",Na,"","Chandralekha_(1948_film),Avvaiyar_(film),Apoorva_Sagodharargal_(1949_film),Pudhaiyal,Ambikapathy_(1957_film),Sathi_Murali,Maya_Machhindra,Vanangamudi"
"224","M. K. Thyagaraja Bhagavathar","1/11/1959","Mayavaram Krishnamurthy Thyagaraja Bhagavathar","7/3/1910",Na,"","Haridas_(1944_film),Ashok_Kumar_(film),Chintamani_(1937_film),Pavalakkodi,Sivakavi,Raja_Mukthi,Ambikapathy_(1937_film),Thiruneelakantar_(1939_film)"
"225","M. N. Nambiar","19-11-2008","Manjeri Narayanan Nambiar","",Na,"","Ejamaan,Garjanai,Aasai_Mugam,Aayirathil_Oruvan_(1965_film),Arasilangkumari,Kalai_Arasi,Kalangarai_Vilakkam,Kanni_Thaai,Maadappura,Nallavan_Vazhvan,Needhikkuppin_Paasam,Padagotti,Panathottam,Parisu,Thazhampoo,Thirudadhe,Vettaikaaran_(1964_film),Mella_Thirandhathu_Kadhavu,Abhimanyu_(1948_film),Marmayogi,Kurathi_Magan,Ram_Lakshman,Alaigal,Rajapart_Rangadurai,Lorry_Driver_Rajakannu,Pattikaattu_Ponnaiya,Thangarasu,Anjatha_Singam,Anna_Nee_En_Deivam,Saatchi_(film),Kanna_Talli,Ninaithadhai_Mudippavan,Arasa_Kattalai,Indru_Pol_Endrum_Vaazhga,Madhuraiyai_Meetta_Sundharapandiyan,Meenava_Nanban,Oru_Thaai_Makkal,Ragasiya_Police_115,Sivandha_Mann,Ulagam_Sutrum_Valiban,Vivasayee,Guru_(1980_film),Nenjam_Marappathillai,Mugaraasi,Naan_Aanaiyittal,Thanipiravi,Anbe_Anbe,Chittoor_Rani_Padmini,Then_Nilavu,Uthama_Puthiran_(1958_film),Poonthotta_Kaavalkaaran,Winner_(film),Tenali_Ramakrishna_(film),Chandhrodhayam,Kaavalkaaran_(1967_film),Kudiyirundha_Koyil,Naalai_Namadhe,Parakkum_Paavai,Pudhiya_Boomi,Sirithu_Vazha_Vendum,Maanagara_Kaaval,Thai_Mozhi,Baba_(2002_film),Paasamalargal,Manthiri_Kumari,Velaikaari,Ambikapathy_(1957_film),Makkalai_Petra_Magarasi,Nallavan_(1988_film),Thanga_Mama_3D,Amma_(1952_film),Jesus_(1973_film),Baghdad_Thirudan,Nadodi_Mannan_(1958_film),Rajakumaari,Sarvadhikari_(film),Savaale_Samali,Ezhuthatha_Sattangal,Annaiyin_Aanai,Bhaaga_Pirivinai,Kaveri_(1955_film),Thanga_Padhumai,Thangamalai_Ragasiyam,Thooral_Ninnu_Pochchu,Thaali_Bhagyam,Thaai_Naadu,En_Annan,Netru_Indru_Naalai_(1974_film),Naan_Mahaan_Alla_(1984_film),Raja_Rajan_(film),Naan_Yen_Pirandhen,Idhaya_Veenai,Vanangamudi,Naan_Petra_Selvam,Ek_Tha_Raja_(1951_film),Annai_Illam,Oorukku_Oru_Pillai,Punniya_Boomi,Sandhippu,Sangili_(film),Vamsa_Vilakku,Vetrikku_Oruvan,Anbalippu,Dharmam_Engey,Enga_Oor_Raja,Kumbakarai_Thangaiah,Lakshmi_Kalyanam_(1968_film),Mannavan_Vanthaanadi,Sakkarai_Devan,Velundu_Vinaiyillai,Thambi_Durai,Needhiyin_Nizhal,Ratha_Paasam_(1980_film),Anjal_Petti_520,Enga_Ooru_Kavalkaran,Periya_Veetu_Pannakkaran,Meenakshi_Thiruvilayadal,Karimedu_Karuvayan,Mani_Magudam,Miruthanga_Chakravarthi,Ezhai_Pangalan,Nichaya_Thaamboolam,Rambaiyin_Kaadhal_(1956_film),Puthiya_Theerppu,Chilanthivala,Vaazhkai_(film)"
"226","M. R. Radha","17-09-1979","","14-04-1907",Na,"Actor","Naan_Potta_Savaal,Dharmam_Thalai_Kaakkum,Kaanchi_Thalaivan,Koduthu_Vaithaval,Maadappura,Nallavan_Vazhvan,Needhikkuppin_Paasam,Paasam,Parisu,Sabaash_Mapillai,Thazhampoo,Vettaikaaran_(1964_film),Anandha_Jodhi,Paadha_Kannikkai,Rusi_Kanda_Poonai,Petralthan_Pillaiya,Paar_Magale_Paar,Palum_Pazhamum,Ratha_Kanneer,Puthiya_Paravai,Periya_Idathu_Penn,Padithaal_Mattum_Podhuma,Bale_Pandiya_(1962_film),Bhaaga_Pirivinai,Aalayamani,Pava_Mannippu,Kudumba_Thalaivan,Thaai_Sollai_Thattadhe,Kalyaniyin_Kanavan,Kairasi,Valar_Pirai,Th%C3%A1yai_K%C3%A1tha_Thanayan,Kumudham,Pazhani_(1965_film)"
"227","M. S. Bhaskar","","Muthupandi Sundaram Bhaskar","",Na,"","Irandu_Mugam,Karuppampatti,Sutta_Kadhai,Thee_Kulikkum_Pachai_Maram"
"228","M. S. Subbulakshmi","11/12/2004","","16-09-1916",Na,"","Sakuntalai,Meera_(1945_film)"
"229","M. Sasikumar","","Mahalingam Sasi Kumar","28-09-1975",Na,"","Masters_(film),Tharai_Thappattai,Subramaniapuram,Bramman,Kutti_Puli,Naadodigal"
"230","Madhan Bob","","S. Krishnamoorthy","",Na,"Film actor","Nandhini_(film),Enga_Thambi,Gopura_Deepam"
"231","Madhavi (actress)","","Vijayalakshmi","",Na,"","Garjanai,Garjanam,Insaaf_Kaun_Karega,Viduthalai,Ellam_Inba_Mayyam,Mangamma_Sapatham_(1985_film),Sattam,Haalu_Jenu,Nafrat_Ki_Aandhi,Qaidi_(1984_film),Amara_Kaaviyam_(1981_film),Odahuttidavaru,Khaidi,Matru_Devo_Bhava,Novemberinte_Nashtam,Enga_Ooru_Kannagi,Akashadoothu,Malaya_Marutha,Shruthi_Seridaaga,Kukka_Katuku_Cheppu_Debba,Oru_Katha_Oru_Nunakkatha,Sarphira,Tayaramma_Bangarayya,Aayiram_Naavulla_Ananthan,John_Jaffer_Janardhanan,Khudai,Swarg,Roshagadu,Simhapuri_Simham,Chattamtho_Poratam,Adhyayam_Onnu_Muthal,Agneekaal,Shobaraj,Intlo_Ramayya_Veedilo_Krishnayya,Agneepath_(1990_film),Oorummadi_Brathukulu,Hello_Madras_Girl,Vikatakavi,Anuraga_Aralithu,Big_Boss_(film),Ormakkayi,Andha_Kanoon,Pyaar_Ka_Mandir,Thillu_Mullu_(1981_film),Chattaniki_Kallu_Levu,Nombarathi_Poovu,Anuraagakkodathi,Chanakya_(1984_film),Gandugali_Rama,Onde_Guri,Chinnadantha_Maga,Rudranaga,Garuda_Rekhe,Khaidi_(1984_film),Kalyug_Aur_Ramayan,Satyamev_Jayate_(film),Oru_Kudakeezhil,Chaithanyam"
"232","Madhoo","","Madhubala Raghunath","1972-03-26,2000-11-16,2002-11-09",Na,"","Ravan_Raaj:_A_True_Story,Diya_Aur_Toofan_(1995_film),Sher-E-Hindustan,Yeshwant,Brahma_(1994_film),Sar_Utha_Ke_Jiyo_(film),Pehchaan_(1993_film),Annayya_(1993_film),Chilakkottudu,Ganesh_(film),Fauj,Hafta_Vasuli,Vaayai_Moodi_Pesavum,Roja,Diljale,Elaan_(1994_film),Jallaad,Ottayal_Pattalam,Ustadon_Ke_Ustad,Kisi_Se_Dil_Lagaake_Dekho,Udaan_(1997_film),Hum_Hain_Bemisaal,Zaalim,Anthaka_Mundu_Aa_Tarvatha,Senthamizh_Selvan,Phool_Aur_Kaante,Panchalankurichi_(film),Kachchi_Sadak,Mulaqaat,Yodha_(1992_film),Gentleman_(1993_film)"
"233","Madhu Shalini","","","",Na,"News presenter","Pathinaaru,Bhoot_Returns,Department_(film),Kithakithalu"
"234","Madhumitha","","Swapna Madhuri","",Na,"","Amudhey,Englishkaran,Kudaikul_Mazhai,Naalai,Boyy_Friennd,Aanivaer,Solla_Solla_Inikkum,Arai_En_305-il_Kadavul,Yogi_(2009_film),Mannan_Magal_(TV_series)"
"235","Mahadevan (actor)","","Pithamagan Mahadevan","",Na,"Actor","NA,"
"236","Mahat Raghavendra","","Mahat Raghavendra","18-02-1987",Na,"Film actor","Backbench_Student,Jilla,Ladies_&_Gentlemen_(2015_film)"
"237","Mahendran (actor)","","","23-01-1991",Na,"Actor","Mudhal_Kadhal_Mazhai,Vizha"
"238","Malavika","","Shweta Konnur","19-07-1979",Na,"Film actress","NA,"
"239","Malaysia Vasudevan","20-02-2011","","15-06-1944",Na,"","Kadamai_Kanniyam_Kattupaadu,Dhool_Parakuthu,Oru_Kaidhiyin_Diary,Thendral_Sudum,Kai_Naattu,Thiruda_Thiruda"
"240","Mallika (actress)","","Reeja Johnson","",Na,"Film actress","Byari_(film),Thotta,Ammanilavu,Autograph_(2004_film),Thirupaachi,Naa_Autograph,Kadhaveedu,Anjali_(TV_series)"
"241","Mallika Kapoor","","Mallika Kapoor","",Na,"Actress,Model (person)","Anthony_Yaar%3F,Puli_Varudhu,Dil_Bechara_Pyaar_Ka_Maara,Allare_Allari,Solla_Solla_Inikkum,Azhagai_Irukkirai_Bayamai_Irukkirathu,Advocate_Lakshmanan_–_Ladies_Only,Arputha_Theevu,Savi_Savi_Nenapu,Gun_(2011_film),Makaramanju,Vathiyar,Advocate_Lakshmanan_%E2%80%93_Ladies_Only"
"242","Mallika Sherawat","","Reema Lamba","24-10-1976",Na,"","Pyaar_Ke_Side_Effects,Dasavathaaram,Ugly_Aur_Pagli,Murder_(film),Kis_Kis_Ki_Kismat,Maan_Gaye_Mughal-e-Azam,Kismat_Love_Paisa_Dilli,Khwahish,Fauj_Mein_Mauj,Double_Dhamaal,Hisss,The_Myth_(film),Darna_Zaroori_Hai,Aap_Kaa_Surroor_(film),Murder_(film_series),Shaadi_Se_Pehle,Bachke_Rehna_Re_Baba,Politics_of_Love"
"243","Mammootty","","Muhammad Kutty Ismail Paniparambil","7/9/1951",Na,"Film actor,Film Producer","Kaazhcha,Rappakal,Onnanu_Nammal,Ahimsa_(1981_film),Ee_Pattanathil_Bhootham,Kauravar,Utharam,Bus_Conductor,Gandhinagar_2nd_Street,Dr._Babasaheb_Ambedkar_(film),Nanayam,Junior_Senior_(2002_film),Pappayude_Swantham_Appoos,Hitler_(1996_film),August_15_(2011_film),Nayam_Vyakthamakkunnu,The_King_&_the_Commissioner,Kunjananthante_Kada,Gangster_(2014_film),Surya_Putrulu,Aalorungi_Arangorungi,Ayanam,Manglish_(film),Thrishna,Visa_(film),Manya_Mahajanangale,Snehamulla_Simham,Sayam_Sandhya,Kandukondain_Kandukondain,Sethurama_Iyer_CBI,Vishwa_Thulasi,Rajamanikyam,Harikrishnans,Aanandham,Oliyambukal,Ariyaatha_Veethikal,Kizhakkan_Pathrose,Mahanagaram,Sagaram_Sakshi,Stalin_Sivadas,The_Godman,Pooviriyum_Pulari,Thaskaraveeran_(2005_film),Thaniyavarthanam,Bhargavacharitham_Moonam_Khandam,Padayani_(film),Palunku,Pothan_Vava,Abkari,Indraprastham_(film),Aankiliyude_Tharattu,Neelagiri_(film),Anaswaram,Kanamarayathu,Thinkalaazhcha_Nalla_Divasam,Cobra_(2012_film),Sphodanam,Jawan_of_Vellimala,Silence_(2013_film),Aa_Divasam,Itha_Innu_Muthal,Ethirum_Pudhirum,Thommanum_Makkalum,Udhyanapalakan,Venicile_Vyapari,Proprietors:_Kammath_&_Kammath,Aa_Raathri,Swati_Kiranam,Vandae_Maatharam,Adiyozhukkukal,Amaram,Arayannangalude_Veedu,Karutha_Pakshikal,Mahayanam,Ponthan_Mada,Vatsalyam,Yathra,Nasrani_(film),Padayottam,Aparichithan,Loudspeaker_(film),Manu_Uncle,Mayavi_(2007_film),Roudram,Vartha,Vesham,Aalkkoottathil_Thaniye,Adikkurippu,Inniyenkilum,Mangalam_Nerunnu,Ormakalundayirikkanam,Oru_Katha_Oru_Nunakkatha,Pinnilavu,Rachana_(film),Sandhyakku_Virinja_Poovu,Thachiledathu_Chundan,Bavuttiyude_Namathil,Face2Face_(2012_film),Chronic_Bachelor,Vidheyan,Azhagan,Azhakiya_Ravanan,Katha_Parayumpol,Ente_Upasana,Lekhayude_Maranam_Oru_Flashback,Arappatta_Kettiya_Gramathil,Geetham_(film),Yavanika,Kerala_Cafe,Manivathoorile_Aayiram_Sivarathrikal,Sainyam,The_King_(1995_film),Aayiram_Naavulla_Ananthan,Dubai_(2001_film),John_Jaffer_Janardhanan,Kathodu_Kathoram,Megham,Padheyam,Phantom_(2002_film),Soorya_Manasam,Thanthram,Vajram_(2004_film),Adimakal_Udamakal,Sandarbham,Kadal_Kadannu_Oru_Maathukutty,Big_B_(film),The_Truth_(1998_film),Mission_90_Days,Balram_vs._Tharadas,Yugapurushan,Dhruvam,Ee_Sabdam_Innathe_Sabdam,Kandu_Kandarinju,Kariyilakkattu_Pole,Kuttettan,Parampara_(1990_film),Poovinu_Puthiya_Poonthennal,Sreedharante_Onnam_Thirumurivu,Inspector_Balram,Pattalam_(2003_film),Guru_Dakshina,Johnnie_Walker_(film),Kshamichu_Ennoru_Vakku,Oral_Mathram,Adayalam,Asthram,Sarovaram_(film),Makkal_Aatchi,Mathilukal_(film),Saravarsham,Kilipetchu_Ketkava,Parayanumvayya_Parayathirikkanumvayya,Poomukhappadiyil_Ninneyum_Kaathu,Bhoothakkannadi,Athirathram_(film),Drona_2010,Kaliyoonjal,No._1_Snehatheeram_Banglore_North,Sukrutham,Jackpot_(1993_film),Adharvam,Artham,Carnivel,Dada_Sahib,Dhinarathrangal,Ee_Nadu,Nair_Saab,Rakshasa_Rajavu,Samrajyam,August_1_(film),Charithram,The_Train_(2011_film),Eettillam,Oru_Maravathoor_Kanavu,Vikatakavi,Anubandham,Bombay_March_12,Elavamkodu_Desam,Golanthara_Vartha,Kalikkalam,Kanalkkattu,Pranchiyettan_&_the_Saint,Rakkuyilin_Ragasadassil,Sangham_(1988_film),Balyakalasakhi_(2014_film),Midhya,Mounam_Sammadham,Coolie_(1983_Malayalam_film),Doubles_(2011_film),Black_(2004_film),Ore_Kadal,Mayabazar_(2008_film),One_Way_Ticket_(film),Parunthu,Aavanazhi,Annan_Thambi,Ee_Thanutha_Veluppan_Kalathu,Iyer_the_Great,Karimpinpoovinakkare,Kottayam_Kunjachan,Oru_Abhibhashakante_Case_Diary,Valliettan,Mazhayethum_Munpe,Shikari_(2012_film),Daivathinte_Swantham_Cleetus,Devalokam_(film),Mela_(1980_film),Koodevide,Jagratha,Nerariyan_CBI,Oru_CBI_Diary_Kurippu,Paalam,Ice_Cream_(1986_film),Paleri_Manikyam:_Oru_Pathirakolapathakathinte_Katha_(film),Kerala_Varma_Pazhassi_Raja_(film),Mrugaya_(1989_film),Nirakkoottu,1921_(film),Chattambinadu,Shyama_(film),Pallavur_Devanarayanan,Mattoral,Vicharana,Nandi_Veendum_Varika,Nombarathi_Poovu,Avidathepole_Ivideyum,Veendum,Makan_Ente_Makan,Maniyara,Onnu_Chirikku,Praise_the_Lord_(film),Nyayavidhi,Maanyamahaajanangale,Muhurtham_Pathnonnu_Muppathinu,Mukthi,Twenty:20_(film),Ponnum_Poovum,Eeran_Sandhya,Katha_Ithuvare,Munnariyippu,Puli_Varunne_Puli,Ee_Kaikalil,Adukkan_Entheluppam,Rareeram,Chakkarayumma,Aattuvanchi_Ulanjappol,Manithali,Alakadalinakkare,Anthichuvappu,Aayiram_Abhilashangal,Iniyengilum,Kodungattu,Kaattaruvi,Athinumappuram,Prathyyekom_Shradikkuka,Oduvil_Kittiya_Vartha,Kalachakram_(1973_film),Paavam_Poornima,Lakshmana_Rekha_(film),Sandyakkenthinu_Sindhooram,Kaathirunna_Divasom,Paalam_(film),Himavaahini,Oru_Madapravinte_Katha,Eettillum,Oru_Swakaryam,Ee_Lokam_Evide_Kure_Manushyar,Enthino_Pookunna_Pookkal,Ee_Thanalil_Ithiri_Nerum,Prathyekam_Sradhikkukka,RajadhiRaja,Kanalkattu,Shankanaatham,Thuruppugulan_(2006_film),Akalathe_Ambili,Kathakku_Pinnil,Oru_Sindoora_Pottinte_Ormaykku,Ithrayum_Kaalam,Idavelakku_Sesham,Kodathy,Enganeyundashaane,Prathijnja,Kaanathaya_Penkutty,Vilichu_Vilikettu,Malarum_Kiliyum,Pooram_(film),Bhaskar_the_Rascal,Ithile_Iniyum_Varu,Naanayam_(1983_film),Saagaram_Santham,Nathi_Muthal_Nathi_Vare,Ayanum,Onningu_Vannengil,Angadikkappurathu,Kaalam_Maari_Kadha_Maari,Ithiri_Poove_Chuvanna_Poove,Theeram_Thedunna_Thira,Oru_Kochukatha_Aarum_Parayatha_Katha,Aval_Kaathirunnu_Avanum,Vetta,Ente_Katha_(film),Mansoru_Maha_Samudram,Puzhayozhukum_Vazhi,Veendum_Chalikkunna_Chakram,America_America_(film),Ethirppukal,Naalkavala,Idanilangal,Dany_(film),Kottum_Kuravayum,Neram_Pularumbol,Mudra_(1989_film),Kaveri_(1986_film),Love_in_Singapore_(2009_film),Ente_Kaanakkuyil,Iniyum_Kadha_Thudarum,Post_Mortem_(1982_film),Kochu_Themmadi,Ennu_Nathante_Nimmi,Moonnu_Masangalku_Mumbu,Vidhichathum_Kothichathum"
